slug;name;birth_year
Jimmy_Wales;Jimmy Wales;1966
Niccolò_Fontana_Tartaglia;Niccolò Fontana Tartaglia;1499
Simon_Stevin;Simon Stevin;1548
Johannes_Stark;Johannes Stark;1874
Georgius_Agricola;Georgius Agricola;1494
Polycarp;Polycarp;69
Elisabeth_Kübler-Ross;Elisabeth Kübler-Ross;1926
Lev_Landau;Lev Landau;1908
Philolaus;Philolaus;-470
Carl_Zeiss;Carl Zeiss;1816
John_William_Strutt,_3rd_Baron_Rayleigh;John William Strutt, 3rd Baron Rayleigh;1842
Ludolph_van_Ceulen;Ludolph van Ceulen;1540
Maria_Goeppert_Mayer;Maria Goeppert Mayer;1906
Konrad_Zuse;Konrad Zuse;1910
Claude_Bernard;Claude Bernard;1813
Joseph_von_Fraunhofer;Joseph von Fraunhofer;1787
William_G._Morgan;William G. Morgan;1870
Nikolai_Lobachevsky;Nikolai Lobachevsky;1792
Tim_Berners-Lee;Tim Berners-Lee;1955
Marin_Mersenne;Marin Mersenne;1588
Karl_Weierstrass;Karl Weierstrass;1815
Camillo_Golgi;Camillo Golgi;1843
Emil_Lenz;Emil Lenz;1804
Charles_Édouard_Guillaume;Charles Édouard Guillaume;1861
Al-Battani;Al-Battani;858
Peter_Higgs;Peter Higgs;1929
John_Herschel;John Herschel;1792
Gaspard-Gustave_de_Coriolis;Gaspard-Gustave de Coriolis;1792
Ernő_Rubik;Ernő Rubik;1944
Herman_Hollerith;Herman Hollerith;1860
Edwin_McMillan;Edwin McMillan;1907
Igor_Sikorsky;Igor Sikorsky;1889
George_Gamow;George Gamow;1904
Abu_al-Wafa'_Buzjani;Abu al-Wafa' Buzjani;940
Jean_Baptiste_Perrin;Jean Baptiste Perrin;1870
Walther_Nernst;Walther Nernst;1864
Al-Zahrawi;Al-Zahrawi;936
Victor_Francis_Hess;Victor Francis Hess;1883
Adolf_von_Baeyer;Adolf von Baeyer;1835
Paul_Ehrlich;Paul Ehrlich;1854
Willem_Einthoven;Willem Einthoven;1860
Alexis_Carrel;Alexis Carrel;1873
Ismail_al-Jazari;Ismail al-Jazari;1136
Albert_A._Michelson;Albert A. Michelson;1852
Abraham_Ortelius;Abraham Ortelius;1527
Maria_Sibylla_Merian;Maria Sibylla Merian;1647
Conrad_Gessner;Conrad Gessner;1516
Neil_deGrasse_Tyson;Neil deGrasse Tyson;1958
Owen_Willans_Richardson;Owen Willans Richardson;1879
